STL_Type,Count,SampleFiles
std::string,10320,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:26, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:129, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:133"
std::vector,3612,"bmcweb/test/include/str_utility_test.cpp:19, bmcweb/test/include/str_utility_test.cpp:43, bmcweb/test/redfish-core/include/submit_test_event_test.cpp:23"
std::move,2043,"bmcweb/test/redfish-core/include/redfish_aggregator_test.cpp:368, bmcweb/test/redfish-core/include/utils/query_param_test.cpp:668, bmcweb/test/redfish-core/include/utils/query_param_test.cpp:763"
std::shared_ptr,1494,"bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:33, bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:42, bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:59"
std::unique_ptr,1439,"bmcweb/include/hostname_monitor.hpp:34, bmcweb/features/openbmc_rest/image_upload.hpp:37, bmcweb/features/openbmc_rest/dbus_monitor.hpp:33"
std::string_view,1216,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:183, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:197, bmcweb/test/include/multipart_test.cpp:28"
std::optional,1210,"bmcweb/test/redfish-core/include/filter_expr_parser_test.cpp:16, bmcweb/test/redfish-core/include/filter_expr_executor_test.cpp:19, bmcweb/test/redfish-core/include/filter_expr_executor_test.cpp:32"
std::array,1011,"bmcweb/test/include/http_utility_test.cpp:56, bmcweb/test/include/http_utility_test.cpp:61, bmcweb/test/include/http_utility_test.cpp:77"
std::make_unique,964,"bmcweb/include/hostname_monitor.hpp:169, bmcweb/include/pam_authenticate.hpp:99, bmcweb/features/openbmc_rest/image_upload.hpp:104"
std::chrono,709,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:28, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:35, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:37"
std::get,664,"bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:96, bmcweb/include/async_resolve.hpp:115, bmcweb/redfish-core/include/utils/sensor_utils.hpp:658"
std::map,655,"bmcweb/test/http/verb_test.cpp:17, bmcweb/test/http/verb_test.cpp:44, bmcweb/redfish-core/include/registries.hpp:59"
std::filesystem,553,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:202, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:224, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:258"
std::exception,524,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:240, bmcweb/src/boost_asio.cpp:12, bmcweb/src/boost_asio.cpp:18"
std::invalid_argument,511,"entity-manager/src/variant_visitors.hpp:32, entity-manager/src/variant_visitors.hpp:49, entity-manager/src/fru_device/fru_utils.cpp:913"
std::nullopt,444,"bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:37, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:38, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:39"
std::tuple,369,"bmcweb/include/dbus_utility.hpp:35, bmcweb/include/dbus_utility.hpp:51, bmcweb/include/dbus_utility.hpp:51"
std::to_string,344,"bmcweb/redfish-core/include/redfish_aggregator.hpp:434, bmcweb/redfish-core/include/redfish_aggregator.hpp:505, bmcweb/redfish-core/include/redfish_aggregator.hpp:925"
std::bind_front,334,"bmcweb/test/include/credential_pipe_test.cpp:38, bmcweb/test/redfish-core/lib/chassis_test.cpp:61, bmcweb/test/http/http_connection_test.cpp:79"
std::cerr,325,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:29, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:36, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:43"
std::format,300,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:29, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:36, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:43"
std::pair,295,"bmcweb/test/http/http2_connection_test.cpp:67, bmcweb/test/http/http2_connection_test.cpp:170, bmcweb/include/dbus_utility.hpp:59"
std::size_t,284,"bmcweb/include/sessions.hpp:32, bmcweb/include/authentication.hpp:55, bmcweb/features/virtual_media/vm_websocket.hpp:120"
std::runtime_error,280,"bmcweb/redfish-core/include/sub_route_trie.hpp:143, bmcweb/redfish-core/include/sub_route_trie.hpp:199, bmcweb/redfish-core/include/redfish_oem_routing.hpp:165"
std::variant,275,"bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:77, bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:90, bmcweb/test/redfish-core/lib/ethernet_test.cpp:23"
std::make_shared,270,"bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:59, bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:63, bmcweb/test/redfish-core/include/redfish_oem_routing_test.cpp:147"
std::function,257,"bmcweb/test/http/http2_connection_test.cpp:129, bmcweb/test/http/http_connection_test.cpp:78, bmcweb/include/dbus_utility.hpp:101"
std::ref,214,"bmcweb/test/include/credential_pipe_test.cpp:38, bmcweb/test/http/utility_test.cpp:127, bmcweb/test/http/utility_test.cpp:131"
std::forward,202,"bmcweb/include/dbus_utility.hpp:111, bmcweb/include/dbus_utility.hpp:123, bmcweb/include/async_resolve.hpp:95"
std::get_if,183,"bmcweb/include/hostname_monitor.hpp:79, bmcweb/redfish-core/include/redfish_aggregator.hpp:482, bmcweb/redfish-core/include/redfish_aggregator.hpp:493"
std::ios,169,"bmcweb/redfish-core/include/utils/extern/date.h:1039, bmcweb/redfish-core/include/utils/extern/date.h:1080, bmcweb/redfish-core/include/utils/extern/date.h:1533"
std::numeric_limits,162,"bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:97, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:99, bmcweb/test/redfish-core/include/utils/time_utils_test.cpp:115"
std::span,153,"bmcweb/test/redfish-core/include/utils/query_param_test.cpp:233, bmcweb/test/http/http_body_test.cpp:84, bmcweb/test/http/http_body_test.cpp:108"
std::ifstream,146,"bmcweb/include/persistent_data.hpp:63, bmcweb/features/ibm/ibm_management_console_rest.hpp:296, bmcweb/features/ibm/ibm_management_console_rest.hpp:322"
std::cout,142,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:241, openbmc/poky/meta-selftest/recipes-test/cpp/files/cpp-example-lib.cpp:30, openbmc/poky/meta-selftest/recipes-test/cpp/files/cpp-example.cpp:14"
std::basic_ostream,137,"bmcweb/redfish-core/include/utils/extern/date.h:367, bmcweb/redfish-core/include/utils/extern/date.h:368, bmcweb/redfish-core/include/utils/extern/date.h:405"
std::endl,128,"openbmc/poky/meta-selftest/recipes-test/cpp/files/cpp-example-lib.cpp:30, openbmc/poky/meta-selftest/recipes-test/cpp/files/cpp-example.cpp:14, openbmc/poky/meta-selftest/recipes-test/cpp/files/cpp-example.cpp:15"
std::make_tuple,125,"entity-manager/test/test_topology.cpp:14, entity-manager/test/test_topology.cpp:16, entity-manager/test/test_topology.cpp:229"
std::to_array,124,"bmcweb/include/http_utility.hpp:129, bmcweb/redfish-core/lib/sensors.hpp:66, bmcweb/redfish-core/lib/sensors.hpp:73"
std::ofstream,122,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:136, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:152, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:186"
std::unordered_map,118,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:26, bmcweb/include/sessions.hpp:474, bmcweb/redfish-core/include/redfish_aggregator.hpp:425"
std::set,118,"bmcweb/test/include/human_sort_test.cpp:51, bmcweb/redfish-core/include/utils/sensor_utils.hpp:137, bmcweb/redfish-core/lib/sensors.hpp:268"
std::ranges,110,"bmcweb/include/http_utility.hpp:116, bmcweb/include/http_utility.hpp:190, bmcweb/include/http_utility.hpp:198"
std::bitset,108,"bmcweb/redfish-core/include/privileges.hpp:201, bmcweb/redfish-core/include/privileges.hpp:204, libpldm/tests/dsp/firmware_update.cpp:350"
std::placeholders,103,"pldm/requester/handler.hpp:509, pldm/host-bmc/host_pdr_handler.cpp:161, pldm/host-bmc/host_pdr_handler.cpp:668"
std::exception_ptr,103,"sdbusplus/test/bus/exception.cpp:13, sdbusplus/include/sdbusplus/bus.hpp:529, sdbusplus/include/sdbusplus/bus.hpp:545"
std::visit,97,"bmcweb/features/openbmc_rest/openbmc_dbus_rest.hpp:190, bmcweb/features/openbmc_rest/openbmc_dbus_rest.hpp:301, bmcweb/redfish-core/include/utils/json_utils.hpp:550"
std::bind,92,"pldm/requester/handler.hpp:178, pldm/requester/handler.hpp:214, pldm/requester/handler.hpp:513"
std::error_code,82,"openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:201, openbmc/meta-nvidia/meta-gb200nvl-obmc/recipes-nvidia/platform-init/files/platform_init.cpp:257, bmcweb/test/include/multipart_test.cpp:23"
std::find,82,"bmcweb/redfish-core/include/utils/stl_utils.hpp:20, bmcweb/redfish-core/lib/account_service.hpp:261, bmcweb/redfish-core/lib/openbmc/openbmc_managers.hpp:153"
std::make_pair,77,"bmcweb/redfish-core/include/utils/sensor_utils.hpp:158, bmcweb/redfish-core/include/utils/sensor_utils.hpp:167, bmcweb/redfish-core/include/utils/extern/date.h:4899"
std::is_same_v,67,"bmcweb/features/openbmc_rest/openbmc_dbus_rest.hpp:304, bmcweb/redfish-core/include/redfishoemrule.hpp:58, bmcweb/redfish-core/include/utils/json_utils.hpp:202"
std::current_exception,65,"pldm/requester/test/handler_test.cpp:191, sdbusplus/include/sdbusplus/async/timer.hpp:59, sdbusplus/include/sdbusplus/async/callback.hpp:97"
std::out_of_range,64,"entity-manager/src/entity_manager/configuration.hpp:31, dbus-sensors/src/FileHandle.cpp:19, dbus-sensors/src/nvme/NVMeBasicContext.cpp:126"
std::nullptr_t,63,"bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:77, bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:82, bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:90"
std::regex,61,"bmcweb/features/openbmc_rest/dbus_monitor.hpp:193, bmcweb/features/openbmc_rest/dbus_monitor.hpp:194, bmcweb/features/openbmc_rest/openbmc_dbus_rest.hpp:80"
std::false_type,58,"bmcweb/redfish-core/include/utils/json_utils.hpp:59, bmcweb/redfish-core/include/utils/json_utils.hpp:67, bmcweb/redfish-core/include/utils/json_utils.hpp:75"
std::isfinite,56,"bmcweb/redfish-core/include/utils/sensor_utils.hpp:673, bmcweb/redfish-core/lib/manager_diagnostic_data.hpp:73, bmcweb/redfish-core/lib/manager_diagnostic_data.hpp:112"
std::weak_ptr,55,"bmcweb/features/virtual_media/vm_websocket.hpp:244, bmcweb/features/virtual_media/vm_websocket.hpp:263, bmcweb/features/virtual_media/vm_websocket.hpp:311"
std::hex,55,"entity-manager/src/fru_device/fru_utils.cpp:140, entity-manager/src/fru_device/fru_utils.cpp:352, entity-manager/src/fru_device/fru_utils.cpp:504"
std::mem_fn,55,"pldm/host-bmc/host_pdr_handler.cpp:160, pldm/host-bmc/host_pdr_handler.cpp:667, pldm/host-bmc/host_pdr_handler.cpp:683"
std::basic_istream,53,"bmcweb/redfish-core/include/utils/extern/date.h:3913, bmcweb/redfish-core/include/utils/extern/date.h:3914, bmcweb/redfish-core/include/utils/extern/date.h:4149"
std::stringstream,53,"entity-manager/src/fru_device/fru_utils.cpp:139, entity-manager/src/fru_device/fru_utils.cpp:351, entity-manager/src/fru_device/fru_utils.cpp:503"
std::stoul,52,"dbus-sensors/src/adc/ADCSensorMain.cpp:123, dbus-sensors/src/fan/FanMain.cpp:319, phosphor-host-ipmid/storagehandler.cpp:81"
std::memcpy,51,"dbus-sensors/src/nvidia-gpu/tests/NvidiaGpuSensorTest.cpp:127, dbus-sensors/src/nvidia-gpu/tests/NvidiaGpuSensorTest.cpp:149, dbus-sensors/src/nvidia-gpu/tests/NvidiaGpuSensorTest.cpp:209"
std::basic_string,50,"bmcweb/redfish-core/include/utils/extern/date.h:3915, bmcweb/redfish-core/include/utils/extern/date.h:4152, bmcweb/redfish-core/include/utils/extern/date.h:4390"
std::find_if,50,"bmcweb/redfish-core/lib/sensors.hpp:2337, bmcweb/redfish-core/lib/task.hpp:163, bmcweb/redfish-core/lib/ethernet.hpp:1490"
std::exchange,50,"dbus-sensors/src/mctp/MCTPReactor.cpp:133, sdbusplus/include/sdbusplus/event.hpp:33, sdbusplus/include/sdbusplus/event.hpp:73"
std::decay_t,49,"bmcweb/features/openbmc_rest/openbmc_dbus_rest.hpp:305, bmcweb/redfish-core/include/utils/json_utils.hpp:553, bmcweb/redfish-core/include/utils/json_utils.hpp:578"
std::setw,49,"entity-manager/src/fru_device/fru_utils.cpp:144, entity-manager/src/fru_device/fru_utils.cpp:355, entity-manager/src/fru_device/fru_utils.cpp:506"
std::min,48,"bmcweb/test/http/utility_test.cpp:90, bmcweb/redfish-core/include/utils/journal_utils.hpp:44, bmcweb/redfish-core/include/utils/query_param.hpp:921"
std::enable_shared_from_this,44,"bmcweb/features/virtual_media/vm_websocket.hpp:54, bmcweb/features/virtual_media/vm_websocket.hpp:201, bmcweb/features/kvm/kvm_websocket.hpp:29"
std::throw_with_nested,39,"dbus-sensors/src/mctp/MCTPEndpoint.cpp:283, phosphor-power/phosphor-regulators/test/error_logging_utils_tests.cpp:62, phosphor-power/phosphor-regulators/test/error_logging_utils_tests.cpp:139"
std::errc,38,"bmcweb/include/async_resolve.hpp:83, bmcweb/include/async_resolve.hpp:86, bmcweb/redfish-core/include/registries.hpp:92"
std::source_location,37,"bmcweb/redfish-core/include/error_messages.hpp:779, bmcweb/redfish-core/include/error_messages.hpp:780, bmcweb/redfish-core/lib/manager_diagnostic_data.hpp:43"
std::pow,37,"bmcweb/redfish-core/include/utils/extern/date.h:6433, bmcweb/redfish-core/lib/power.hpp:202, dbus-sensors/src/psu/PSUSensorMain.cpp:898"
std::is_same,35,"bmcweb/redfish-core/include/utils/extern/date.h:4315, bmcweb/redfish-core/include/utils/extern/date.h:4401, bmcweb/redfish-core/include/utils/extern/date.h:4402"
std::from_chars,34,"bmcweb/include/human_sort.hpp:71, bmcweb/include/human_sort.hpp:76, bmcweb/include/async_resolve.hpp:82"
